state,schools,athletes,co2027,co2027_boys,co2027_girls,co2027_profile_url,co2027_grade_evidence,co2027_multisource,co2027_with_coach,co2027_with_coach_email,coaches,coaches_with_email
TX,2408,252384,63507,36632,26861,63507,63507,0,1900,1446,72,55
CA,2024,166429,52004,29709,22258,52004,52004,0,4644,4187,193,147
NY,1352,102462,32922,17631,15272,32922,32922,0,0,0,0,0
OH,1504,87765,26998,14414,12507,26998,26998,0,3953,3651,210,165
PA,910,83632,23084,12331,10738,23084,23084,0,0,0,0,0
NJ,549,58306,21361,11661,9699,21361,21361,0,1162,952,86,73
GA,707,68817,20318,11634,8681,20318,20318,0,3918,0,158,34
NC,891,61795,19400,11220,8174,19400,19400,0,0,0,0,0
IL,1889,69493,19392,10856,8521,19392,19392,0,6432,6244,15102,3235
WI,1031,118031,19281,10323,8929,15339,19281,0,15166,14864,3963,3242
FL,1024,61177,18212,10571,7639,18212,18212,0,61,61,7,7
VA,602,56490,16619,9494,7078,16619,16619,0,0,0,0,0
MI,1493,94771,16176,9285,6891,16176,16176,0,1461,1131,112,78
MO,1038,42226,13218,7377,5839,13218,13218,0,1051,885,58,45
MA,462,40203,12037,6679,5301,12037,12037,0,0,0,0,0
IN,1108,40846,11909,6430,5402,11909,11909,0,2761,2597,130,120
WA,647,55372,11774,7097,4677,11774,11774,0,0,0,0,0
MN,1016,54084,11261,6147,5114,11261,11261,0,9757,9048,6731,2386
CO,429,32626,10860,6244,4611,10860,10860,0,3422,0,200,0
TN,591,30274,9514,5327,4187,9514,9514,0,2257,2257,190,152
KS,836,29950,9252,5258,3993,9252,9252,0,929,628,565,548
MD,401,27712,9141,5181,3944,9141,9141,0,0,0,0,0
AL,560,38180,9120,5247,3873,9120,9120,0,0,0,0,0
SC,452,36256,9021,5055,3946,9021,9021,0,0,0,0,0
IA,913,49024,8738,4924,3804,8738,8738,0,1593,1262,145,75
AZ,411,30696,8582,5092,3440,8582,8582,0,2915,547,188,16
OK,769,45558,8403,4899,3503,8403,8403,0,0,0,0,0
AR,488,47028,8113,4732,3381,8113,8113,0,0,0,0,0
LA,582,26583,7357,4021,3336,7357,7357,0,0,0,0,0
MS,460,30148,7139,4115,3024,7139,7139,0,0,0,0,0
OR,368,36194,6878,3986,2892,6878,6878,0,2512,0,196,39
CT,251,22109,6674,3641,3033,6674,6674,0,0,0,0,0
KY,438,31773,6637,3729,2907,6637,6637,0,0,0,0,0
NE,678,35800,5921,3248,2673,5921,5921,0,5291,638,1824,59
UT,171,16102,5209,2947,2262,5209,5209,0,2767,2591,200,163
NM,199,14907,4185,2312,1869,4185,4185,0,0,0,0,0
ID,199,21597,3793,2184,1609,3793,3793,0,0,0,0,0
ME,160,9022,3331,1831,1486,3331,3331,0,0,0,0,0
NV,136,11514,2955,1729,1226,2955,2955,0,0,0,0,0
MT,207,15663,2724,1589,1135,2724,2724,0,0,0,0,0
SD,427,17134,2669,1518,1151,2669,2669,0,239,78,25,5
WV,169,10228,2295,1294,1001,2295,2295,0,0,0,0,0
NH,108,7744,2293,1274,1019,2293,2293,0,0,0,0,0
WY,81,6461,2168,1215,953,2168,2168,0,0,0,0,0
RI,71,6025,2118,1113,1003,2118,2118,0,0,0,0,0
DE,82,6496,2090,1139,948,2090,2090,0,0,0,0,0
ND,339,12612,2043,1116,927,2043,2043,0,1685,0,1103,12
HI,111,6178,1619,952,667,1619,1619,0,0,0,0,0
AK,173,6922,1340,805,535,1340,1340,0,0,0,0,0
VT,117,4960,889,473,416,889,889,0,0,0,0,0
DC,68,331,126,55,71,126,126,0,64,34,30,15
UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,32100,2238090,582670,327736,254406,578728,582670,0,75940,53101,31488,10671
